Bn,COY,Village,Mohalla,House No,Name,Relation,Sex,Age,Occupation,Mob No,GR,Property,Floor,Colour,No of Rooms,Perimeter Fence,Cowshed,Entry points,LAT/LONG
78 BN,A Coy,Sant,Digvijay,Z-1,Jack,Father,M,21,Doctor,9213840101,,1 kunal,Single,Red,2,N,Y,2,28.679079/77.069710
78BN,A Coy,Sant,Digvijay,Z-1,Oliver,Mother,F,33,Teacher,9213840102,,2 kunal,Single,Pink,4,Y,N,1,28.679080/77.069711
78 BN,A Coy,Sant,Digvijay,Z-1,James,Husband,F,45,Engineer,9213840103,,2 kunal,Single,Purple,5,Y,Y,2,28.679081/77.069712
78 BN,A Coy,Sant,Digvijay,Z-1,Charlie,Wife,F,28,Painter,9213840104,,2 kunal,Single,White,2,Y,N,2,28.679079/77.069711
78 BN,A Coy,Sant,Digvijay,Z-2,Harris,Husband,M,45,Call Centre,9213840105,,2 kunal,Single,Blue,3,Y,Y,1,28.679079/77.069712
78 BN,A Coy,Sant,Digvijay,Z-2,Lewis,Wife,M,23,Air hostess,9213840106,,2 kunal,Single,Green,5,Y,Y,2,28.679079/77.069713
78 BN,A Coy,Sant,Digvijay,Z-2,Leo,Daughter,M,67,Pilot,9213840107,,2 kunal,Single,Lavender,2,Y,Y,2,28.679079/77.069714
78 BN,A Coy,Sant,Swami,Z-11,Noah,Husband,F,23,Scientist,9213840108,,2 kunal,Single,Cherry,4,N,Y,2,28.679079/77.069715
78 BN,A Coy,Sant,Swami,Z-11,Alfie,Wife,M,56,Attender,9213840109,,2 kunal,Single,Light green,4,N,Y,2,28.679079/77.069716
78 BN,A Coy,Sant,Swami,Z-11,Rory,Son,F,24,Buisnessman,9213840110,,1 kunal,Single,Red,3,N,Y,2,28.679079/77.069717
78 BN,A Coy,Sant,Swami,Z-14,Alexander,Father,M,56,Technician,9213840111,,1 kunal,Single,Pink,5,N,N,2,28.679079/77.069718
78 BN,A Coy,Sant,Swami,Z-14,Max,Mother,F,32,Shopkeeper,9213840112,,1 kunal,Single,Purple,2,N,N,2,28.679079/77.069719
78 BN,A Coy,Sant,Swami,Z-14,Logan,Husband,M,67,Doctor,9213840113,,1 kunal,Single,White,5,Y,N,2,28.679079/77.069720
78 BN,A Coy,Sant,Swami,Z-14,Lucas,Wife,F,89,Teacher,9213840114,,1 kunal,Single,Blue,5,N,N,1,28.679079/77.069721
78 BN,A Coy,Sant,Samarth,Z-21,Harry,Husband,F,96,Engineer,9213840115,,1 kunal,Single,Green,5,N,N,2,28.679079/77.069722
78 BN,A Coy,Sant,Samarth,Z-21,Theo,Wife,F,49,Painter,9213840116,,2 kunal,Single,Lavender,2,Y,Y,1,28.679079/77.069723
78 BN,A Coy,Sant,Samarth,Z-23,Thomas,Husband ,M,60,Call Centre,9213840117,,2 kunal,Single,Cherry,5,N,N,2,28.679079/77.069724
78 BN,A Coy,Sant,Samarth,Z-23,Brodie,Wife,F,23,Air hostess,9213840118,,2 kunal,Single,Light green,6,N,N,2,28.679079/77.069725
78 BN,A Coy,Sant,Samarth,Z-25,Archie,Husband ,M,43,Pilot,9213840119,,2 kunal,Single,Red,3,N,Y,2,28.679079/77.069726
78 BN,A Coy,Sant,Samarth,Z-25,Jacob,Wife,M,75,Scientist,9213840120,,2 kunal,Single,Pink,4,N,N,1,28.679079/77.069727
78 BN,A Coy,Sant,Samarth,Z-25,Finlay,Son,F,64,Attender,9213840121,,1 kunal,Single,Purple,3,Y,N,1,28.679079/77.069728
78 BN,A Coy,Sant,Karthik,Z-31,Finn,Husband,F,86,Buisnessman,9213840122,,1 kunal,Single,White,4,Y,N,1,28.679079/77.069729
78 BN,A Coy,Sant,Karthik,Z-31,Daniel,Wife,M,62,Technician,9213840123,,1 kunal,Single,Blue,4,N,N,2,28.679079/77.069730
78 BN,A Coy,Sant,Karthik,Z-31,Joshua,Son,F,98,Shopkeeper,9213840124,,1 kunal,Single,Green,2,Y,Y,1,28.679079/77.069731
78 BN,A Coy,Sant,Karthik,Z-32,Oscar,Husband,F,21,Doctor,9213840125,,1 kunal,Single,Lavender,4,N,Y,2,28.679079/77.069732
78 BN,A Coy,Sant,Karthik,Z-32,Arthur,Wife,M,33,Teacher,9213840126,,1 kunal,Single,Cherry,2,Y,N,1,28.679079/77.069733
78 BN,A Coy,Sant,Karthik,Z-32,Hunter,Daughter,F,45,Engineer,9213840127,,1 kunal,Single,Light green,3,Y,Y,2,28.679079/77.069734
78 BN,A Coy,Sant,Karthik,Z-32,Ethan,Son,M,12,Painter,9213840128,,1 kunal,Single,Red,4,Y,N,2,28.679079/77.069735
78 BN,A Coy,Sant,Ganesh,Z-41,Mason,Father,F,45,Call Centre,9213840129,,1 kunal,Single,Pink,5,Y,Y,2,28.679079/77.069736
78 BN,A Coy,Sant,Ganesh,Z-41,Harrison,Mother,M,23,Air hostess,9213840130,,1 kunal,Single,Purple,3,Y,Y,1,28.679079/77.069737
78 BN,A Coy,Sant,Ganesh,Z-41,Freddie,Husband,F,67,Pilot,9213840131,,1 kunal,Single,White,3,Y,Y,2,28.679079/77.069738
